"Lebel,Tweet"
"Positif,ada acara tunjuk ijin satgas covid"
"Positif,ada diaspora sebar indonesia nilai menteri bumn dpt salah faktor bantu pulih ekonomi indonesia pasca pandemi covid denganetmerdekaberdaulat"
"Positif,adik sd negeri tanjak iii lawan covid varian harap vaksin bs sekolah"
"Negatif,ah aja yg lewat mikirnya tuh sdg ngomong ngadepin virus dewa covid"
"Positif,airlangga akselerasi vaksinasi disiplin prokes kunci kendali covid sindonews bukanberitabiasa"
"Negatif,ajar guru papar covid diskes pekanbaru gejala ringan"
"Negatif,aktif covid belu tambah pasien tinggal"
"Positif,ampuh tangkal virus covid kuat imun teliti ungkap minum kopi bukti turun risiko tular virus covid"
"Positif,anak positif covid mohon isolasi rumah bawa penting pantau anak anak nampak lemah mahu makan nafas laju tunggu lama bawa hospital"
"Negatif,anak serang flu pilek pandemi covid tangan celebritiesdotid infocelebterkini"
"Negatif,anda negara yg inisiatif menkreasikan paspor bentuk kartu konten kolaborasi data imigrasi data sehat lawan covid jalan bangsa negara"
"Negatif,anggap situasi covid persipura jayapura ancam kalah wo"
"Positif,anggota babinsa terima harga dedikasi komitmen tangan covid"
"Positi,anggota dpr dukung perintah hati ubah status pandemi covid"
"Positif,anggota koramil kemusu sana satgas covid kec kemusu melaksanskan awas prokes ptm sd n bawu kec kemusukab boyolali"
"Positif,anggota koramil nogosari terima arah bimbing jam komandan koramil kapten inf warisno kait kembang covid wilayah kec nogosari"
"Negatif,anggota polres situbondo konfirmasi covid varian omicron"
"Positif,antisipasi sebar virus covid personil polsek manuhing rutin operasi yustisi giat posko ppkm"
"Negatif,aq positive covid kak chita semangat in takut bgt"
"Negatif,artis jessica iskandar positif covid kondisi hamil dokter hamil papar covid rentan alami gejala berat"
"Positif,atus liput vaksinasi ikut jenis sekolah vaksin covid lindung anak gejala serius covid lindung pickids"
"Negatif,australia buka batas internasional kali tutup akibat pandemi covid australia"
"Positif,ayo disiplin prokes senantiasa hindar papar virus covid personil satlantas polres taban himbauan prokes pasar diri taban"
"Positif,ayo lawan covid masker cuci tangan jaga jarak semangat sehat"
"Positif,babinsa koramil kebonarum kodim klaten serda susilo wahyu purnomo satgas covid tingkat desa laksana giat tracing edukasi warga bina laksana isoman kodimklaten koremsolo"
"Positif,babinsa koramil nogosari warga jual es keliling pakai masker interaksi masyarakat meminimalisir tular virus covid"
"Positif,babinsa koramil tl kodim dairi himbau warga masyarakat patuh prokes covid"
"Negatif,bahas isu global kini perhati pulih ekonomi global lanjut laju beda negara momentum lemah akibat varian covid rebak"
"Negatif,bandar lampung hari positif covid provinsi lampung catat senin tambah orang tinggal dunia baca lengkap"
"Positif,bantu dukung masyarakat pelosok indonesia oleh hak genap dosis vaksin covid"
"Positif,batuk-pilek pasien covid varian omicron keluh gejala cerna mual diare hubung omicron"
"Negatif,benar perintah tunggak rs covid rp triliun menkes bayar"
"Negatif,benar perintah tunggak rs covid rp triliun menkes bayar serba hutang"
"Negatif,berita populer tren februari pedulilindungi hilang app store mobil wewah tenggelam tingkat gejala covid"
"Negatif,bicara bahas tangan pandemi covid dukung adb transisi energi indonesia"
"Negatif,bill gates covid kendali pandemi patogen beda"
"Positif,blora babinsa desa tempurejo anggota koramil blora bhabinkamtibmas polsek blora bidan desa sinergi uptd puskesmas medang sukses program vaksinasi covid sinovac anak usia s d th selasa"
"Negatif,bri liga persipura hadir stadion sinyalir main positif covid sesuai regulasi"
"Positif,bupati bogor ade yasin aku tular covid varian omicron masif wilayah banding tular delta"
