tweetcreatedts,username,text,retweet_count,like
2022-02-21 23:59:59,Nv_sulistyo,"Pemerintah telah resmi menetapkan hari libur nasional tahun 2022. Namun, untuk cuti bersama akan ditentukan kemudian dengan mempertimbangkan kasus Covid-19.

Berikut 16 hari libur nasional pada tahun depan yang telah diputuskan. 
__
#KemenPANRB
#HariLiburNasional2022 https://t.co/rpiVtdpue4",149,0
2022-02-21 23:59:58,PTJASAMARGA,"Hallo Kawan JM

Patuhi protokol kesehatan untuk memutus penyebaran Covid-19, buat Kawan JM yang beraktivitas dimanapun dan kapanpun jangan lupa untuk 6M ya!

Yuk bersama-sama kita cegah penyebaran Covid-19! https://t.co/K9bBnJfur7",0,0
2022-02-21 23:59:43,Selena_imut,"""Selain tenaga kesehatan (nakes), tolong yang suntikan ketiga agar dimulai,"" ujar presiden memberikan arahan. #PercepatVaksinOmicron https://t.co/eb70XtTgIO",1,0
2022-02-21 23:59:43,ryolandafit,"COVID-19 di DKI Jakarta disebut sudah melewati puncak gelombang Omicron. Kasusnya terus melandai, sedangkan tingkat kesembuhan mengalami peningkatan. https://t.co/ah6BgBokyF",7,0
2022-02-21 23:59:00,newsmerahputih,"Luhut Binsar Panjaitan, kembali mengumumkan informasi perihal penanganan pandemi COVID-19, khususnya di wilayah Jawa dan Bali.

#merahputihcom #luhutbinsarpandjaitan #covid19 

https://t.co/g3e2i7s6rs",0,1
2022-02-21 23:57:48,GustiMberkahi,"3. Pandemi Covid 19 ; ini merupakan penyebab utama dari segala masalah yg terjadi di seluruh dunia.

Arus logistik terganggu, permintaan menurun, produksi berkurang. Disamping itu terjadinya krisis energi di uni eropa, Tiongkok &amp; India. 
Lanjut...",18,0
2022-02-21 23:57:44,SulungPambrast3,"Selamat pagi, salam Prokes, salam sehat, salam olahraga, dan salam SKJ! 💪 Jangan lupa bersenam SKJ Anti Covid-19 Omicron 2022 sekarang, supaya terhindar dari Covid-19 Omicron. Terima kasih...! 😀🙏

https://t.co/QxZ8AFVVCQ",0,0
2022-02-21 23:57:32,jamal_dya,"Kementerian Kesihatan (KKM) melaporkan terdapat tiga negeri merekodkan penggunaan katil di wad Unit rawatan Rapi (ICU) bagi merawat pesakit COVID-19, melebihi 50 peratus. - KP Kesihatan @DGHisham https://t.co/ZKYITJsLDl",49,0
2022-02-21 23:57:32,Amhere4VKTH,"Gelap-gelapan Tetap Ganteng, V BTS Sapa Manis ARMY Saat Isoman Covid-19 https://t.co/jBRG3NQeLI",17,0
2022-02-21 23:57:18,binti_fauziyah,"@anotherchrns Setelah sembuh dari covid-19 tuh badan masih lemes, masih g nafsu makan😔 sehat² ya anak cantik",0,0
